MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,0,10.222268|3.000000|2.000000,0.028653621673583984,3.0,9.808805|3.000000|2.000000,10.222268|3.000000|2.000000,9.808805|3.000000|2.000000,3,243307806720.000000,N/A,3,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,1,9.531663|3.000000|0.000000,0.028516769409179688,3.0,9.471049|3.000000|0.000000,9.531663|3.000000|0.000000,9.471049|3.000000|0.000000,3,113561149440.000000,N/A,3,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,2,9.531663|3.000000|0.000000,0.028046846389770508,3.0,9.471049|3.000000|0.000000,9.531663|3.000000|0.000000,9.471049|3.000000|0.000000,3,68382838784.000000,N/A,1,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,3,9.315229|3.000000|0.000000,0.028538942337036133,3.0,9.279193|3.000000|0.000000,9.315229|3.000000|0.000000,9.279193|3.000000|0.000000,3,29211412480.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,4,9.315229|3.000000|0.000000,0.028355121612548828,3.0,9.279193|3.000000|0.000000,9.315229|3.000000|0.000000,9.279193|3.000000|0.000000,3,86397517824.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,5,9.315229|3.000000|0.000000,0.02637791633605957,3.0,9.279193|3.000000|0.000000,9.315229|3.000000|0.000000,9.279193|3.000000|0.000000,3,59982917632.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,6,9.315229|3.000000|0.000000,0.026456594467163086,3.0,9.279193|3.000000|0.000000,9.315229|3.000000|0.000000,9.279193|3.000000|0.000000,3,53035495424.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,7,9.315229|3.000000|0.000000,0.02714228630065918,3.0,9.279193|3.000000|0.000000,9.315229|3.000000|0.000000,9.279193|3.000000|0.000000,3,97847402496.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,8,9.198658|7.000000|0.000000,0.026550769805908203,7.0,9.214591|7.000000|0.000000,9.198658|7.000000|0.000000,9.214591|7.000000|0.000000,7,75304968192.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,9,9.198658|7.000000|0.000000,0.026129722595214844,7.0,9.214591|7.000000|0.000000,9.198658|7.000000|0.000000,9.214591|7.000000|0.000000,7,60109361152.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,10,9.198658|7.000000|0.000000,0.02635669708251953,7.0,9.214591|7.000000|0.000000,9.198658|7.000000|0.000000,9.214591|7.000000|0.000000,7,78628855808.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,11,9.198658|7.000000|0.000000,0.026329517364501953,7.0,9.214591|7.000000|0.000000,9.198658|7.000000|0.000000,9.214591|7.000000|0.000000,7,75041832960.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,12,9.198658|7.000000|0.000000,0.026502370834350586,7.0,9.214591|7.000000|0.000000,9.198658|7.000000|0.000000,9.214591|7.000000|0.000000,7,93458489344.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,13,9.198658|7.000000|0.000000,0.026249408721923828,7.0,9.214591|7.000000|0.000000,9.198658|7.000000|0.000000,9.214591|7.000000|0.000000,7,89376710656.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,14,9.198658|7.000000|0.000000,0.02740764617919922,7.0,9.214591|7.000000|0.000000,9.198658|7.000000|0.000000,9.214591|7.000000|0.000000,7,37053497344.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,15,9.091492|7.000000|1.000000,0.02617788314819336,7.0,9.187028|7.000000|1.000000,9.091492|7.000000|1.000000,9.187028|7.000000|1.000000,7,44332982272.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,16,9.091492|7.000000|1.000000,0.026048660278320312,7.0,9.187028|7.000000|1.000000,9.091492|7.000000|1.000000,9.187028|7.000000|1.000000,7,65591668736.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,17,9.091492|7.000000|1.000000,0.026926279067993164,7.0,9.187028|7.000000|1.000000,9.091492|7.000000|1.000000,9.187028|7.000000|1.000000,7,77147758592.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,18,9.091492|7.000000|1.000000,0.026205778121948242,7.0,9.187028|7.000000|1.000000,9.091492|7.000000|1.000000,9.187028|7.000000|1.000000,7,66397179904.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,19,9.091492|7.000000|1.000000,0.026291608810424805,7.0,9.187028|7.000000|1.000000,9.091492|7.000000|1.000000,9.187028|7.000000|1.000000,7,59517026304.000000,N/A,2,5
