MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,0,9.693277|3.000000|2.000000,0.028841257095336914,3.0,10.988559|3.000000|2.000000,9.693277|3.000000|2.000000,10.988559|3.000000|2.000000,3,242793021440.000000,N/A,3,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,1,9.221503|3.000000|0.000000,0.028687715530395508,3.0,10.161055|3.000000|0.000000,9.221503|3.000000|0.000000,10.161055|3.000000|0.000000,3,119003758592.000000,N/A,3,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,2,8.165822|5.000000|1.000000,0.027942895889282227,5.0,9.796720|5.000000|1.000000,8.165822|5.000000|1.000000,9.796720|5.000000|1.000000,5,53483749376.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,3,8.165822|5.000000|1.000000,0.028456687927246094,5.0,9.796720|5.000000|1.000000,8.165822|5.000000|1.000000,9.796720|5.000000|1.000000,5,88111235072.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,4,8.165822|5.000000|1.000000,0.02810072898864746,5.0,9.796720|5.000000|1.000000,8.165822|5.000000|1.000000,9.796720|5.000000|1.000000,5,64748376064.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,5,8.165822|5.000000|1.000000,0.026651859283447266,5.0,9.796720|5.000000|1.000000,8.165822|5.000000|1.000000,9.796720|5.000000|1.000000,5,59071705088.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,6,7.545539|7.000000|1.000000,0.02634263038635254,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,41562021888.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,7,7.545539|7.000000|1.000000,0.026870250701904297,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,113013080064.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,8,7.545539|7.000000|1.000000,0.026335716247558594,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,47419891712.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,9,7.545539|7.000000|1.000000,0.0262300968170166,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,65455636480.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,10,7.545539|7.000000|1.000000,0.026186466217041016,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,93173800960.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,11,7.545539|7.000000|1.000000,0.026233434677124023,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,64895504384.000000,N/A,2,5
