MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,0,9.568933|3.000000|2.000000,0.028686046600341797,3.0,11.239510|3.000000|2.000000,9.568933|3.000000|2.000000,11.239510|3.000000|2.000000,3,243286196224.000000,N/A,3,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,1,9.113189|3.000000|0.000000,0.028703689575195312,3.0,10.386152|3.000000|0.000000,9.113189|3.000000|0.000000,10.386152|3.000000|0.000000,3,117542092800.000000,N/A,3,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,2,9.113189|3.000000|0.000000,0.02775883674621582,3.0,10.386152|3.000000|0.000000,9.113189|3.000000|0.000000,10.386152|3.000000|0.000000,3,61717467136.000000,N/A,3,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,3,9.113189|3.000000|0.000000,0.028213977813720703,3.0,10.386152|3.000000|0.000000,9.113189|3.000000|0.000000,10.386152|3.000000|0.000000,3,49308979200.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,4,9.113189|3.000000|0.000000,0.028159618377685547,3.0,10.386152|3.000000|0.000000,9.113189|3.000000|0.000000,10.386152|3.000000|0.000000,3,105771409408.000000,N/A,1,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,5,8.852937|3.000000|0.000000,0.026563405990600586,3.0,10.311137|3.000000|0.000000,8.852937|3.000000|0.000000,10.311137|3.000000|0.000000,3,63266742272.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,6,8.852937|3.000000|0.000000,0.025867700576782227,3.0,10.311137|3.000000|0.000000,8.852937|3.000000|0.000000,10.311137|3.000000|0.000000,3,63923523584.000000,N/A,1,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,7,8.852937|3.000000|0.000000,0.0270998477935791,3.0,10.311137|3.000000|0.000000,8.852937|3.000000|0.000000,10.311137|3.000000|0.000000,3,39577034752.000000,N/A,1,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,8,8.748910|7.000000|0.000000,0.026509761810302734,7.0,10.183698|7.000000|0.000000,8.748910|7.000000|0.000000,10.183698|7.000000|0.000000,7,60571111424.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,9,8.748910|7.000000|0.000000,0.026377439498901367,7.0,10.183698|7.000000|0.000000,8.748910|7.000000|0.000000,10.183698|7.000000|0.000000,7,59516592128.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,10,8.748910|7.000000|0.000000,0.026491641998291016,7.0,10.183698|7.000000|0.000000,8.748910|7.000000|0.000000,10.183698|7.000000|0.000000,7,80853860352.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,11,8.748910|7.000000|0.000000,0.026215314865112305,7.0,10.183698|7.000000|0.000000,8.748910|7.000000|0.000000,10.183698|7.000000|0.000000,7,83097206784.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,12,8.748910|7.000000|0.000000,0.026465654373168945,7.0,10.183698|7.000000|0.000000,8.748910|7.000000|0.000000,10.183698|7.000000|0.000000,7,93498810368.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,13,8.748910|7.000000|0.000000,0.026176929473876953,7.0,10.183698|7.000000|0.000000,8.748910|7.000000|0.000000,10.183698|7.000000|0.000000,7,88945238016.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,14,8.748910|7.000000|0.000000,0.02720165252685547,7.0,10.183698|7.000000|0.000000,8.748910|7.000000|0.000000,10.183698|7.000000|0.000000,7,36212289536.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,15,8.545556|7.000000|1.000000,0.0269315242767334,7.0,10.335676|7.000000|1.000000,8.545556|7.000000|1.000000,10.335676|7.000000|1.000000,7,44014034944.000000,N/A,3,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,16,8.545556|7.000000|1.000000,0.026467084884643555,7.0,10.335676|7.000000|1.000000,8.545556|7.000000|1.000000,10.335676|7.000000|1.000000,7,65792962560.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,17,8.545556|7.000000|1.000000,0.026447296142578125,7.0,10.335676|7.000000|1.000000,8.545556|7.000000|1.000000,10.335676|7.000000|1.000000,7,58024755200.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,18,8.545556|7.000000|1.000000,0.02632617950439453,7.0,10.335676|7.000000|1.000000,8.545556|7.000000|1.000000,10.335676|7.000000|1.000000,7,90477281280.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,19,8.545556|7.000000|1.000000,0.026282310485839844,7.0,10.335676|7.000000|1.000000,8.545556|7.000000|1.000000,10.335676|7.000000|1.000000,7,81003790336.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,20,8.545556|7.000000|1.000000,0.02556133270263672,7.0,10.335676|7.000000|1.000000,8.545556|7.000000|1.000000,10.335676|7.000000|1.000000,7,43272007680.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,21,6.747207|7.000000|2.000000,0.027252912521362305,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,74286456832.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,22,6.747207|7.000000|2.000000,0.026552677154541016,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,103564886016.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,23,6.747207|7.000000|2.000000,0.02687978744506836,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,49014657024.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,24,6.747207|7.000000|2.000000,0.026741743087768555,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,37369769984.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,25,6.747207|7.000000|2.000000,0.026569843292236328,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,105582084096.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,26,6.747207|7.000000|2.000000,0.026216983795166016,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,69669101568.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,27,6.747207|7.000000|2.000000,0.026078224182128906,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,59522510848.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,28,6.747207|7.000000|2.000000,0.026825904846191406,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,69736357888.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,29,6.747207|7.000000|2.000000,0.026902198791503906,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,69277908992.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,30,6.747207|7.000000|2.000000,0.027330398559570312,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,100046954496.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,31,6.747207|7.000000|2.000000,0.02627849578857422,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,52960661504.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,32,6.747207|7.000000|2.000000,0.026469945907592773,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,58509774848.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,33,6.747207|7.000000|2.000000,0.02685856819152832,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,68393033728.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,34,6.747207|7.000000|2.000000,0.026567935943603516,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,89615015936.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,35,6.747207|7.000000|2.000000,0.026131868362426758,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,70880395264.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,36,6.747207|7.000000|2.000000,0.02765679359436035,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,70482370560.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,37,6.747207|7.000000|2.000000,0.026608705520629883,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,45938577408.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,38,6.747207|7.000000|2.000000,0.06354951858520508,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,105431744512.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,39,6.747207|7.000000|2.000000,0.02639603614807129,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,110099800064.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,40,6.747207|7.000000|2.000000,0.025852203369140625,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,78174748672.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,41,6.747207|7.000000|2.000000,0.027057409286499023,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,41752211456.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,42,6.747207|7.000000|2.000000,0.026086091995239258,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,61820080128.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,43,6.747207|7.000000|2.000000,0.027527332305908203,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,73007955968.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,44,6.747207|7.000000|2.000000,0.026589155197143555,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,126111236096.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,45,6.747207|7.000000|2.000000,0.026549339294433594,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,92576645120.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,46,6.747207|7.000000|2.000000,0.027296066284179688,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,86431629312.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,47,6.747207|7.000000|2.000000,0.026971817016601562,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,110642593792.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,48,6.747207|7.000000|2.000000,0.026216983795166016,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,74530045952.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,49,6.747207|7.000000|2.000000,0.026875972747802734,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,103997718528.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,50,6.747207|7.000000|2.000000,0.02674412727355957,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,29663084544.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,51,6.747207|7.000000|2.000000,0.026665210723876953,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,72870576128.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,52,6.747207|7.000000|2.000000,0.026272058486938477,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,70175334400.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,53,6.747207|7.000000|2.000000,0.026803016662597656,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,101270388736.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,54,6.747207|7.000000|2.000000,0.026294708251953125,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,31875323904.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,55,6.747207|7.000000|2.000000,0.025896310806274414,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,17572104192.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,56,6.747207|7.000000|2.000000,0.02725052833557129,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,62285074432.000000,N/A,2,5
