MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,0,10.140005|3.000000|2.000000,0.028743505477905273,3.0,10.005688|3.000000|2.000000,10.140005|3.000000|2.000000,10.005688|3.000000|2.000000,3,242627903488.000000,N/A,3,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,1,9.363800|3.000000|0.000000,0.0285794734954834,3.0,9.853315|3.000000|0.000000,9.363800|3.000000|0.000000,9.853315|3.000000|0.000000,3,108674342912.000000,N/A,3,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,2,9.363800|3.000000|0.000000,0.02805471420288086,3.0,9.853315|3.000000|0.000000,9.363800|3.000000|0.000000,9.853315|3.000000|0.000000,3,37550018560.000000,N/A,3,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,3,8.331758|5.000000|1.000000,0.028391599655151367,5.0,9.014560|5.000000|1.000000,8.331758|5.000000|1.000000,9.014560|5.000000|1.000000,5,49937432576.000000,N/A,3,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,4,8.331758|5.000000|1.000000,0.028017520904541016,5.0,9.014560|5.000000|1.000000,8.331758|5.000000|1.000000,9.014560|5.000000|1.000000,5,90426408960.000000,N/A,3,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,5,8.331758|5.000000|1.000000,0.02656841278076172,5.0,9.014560|5.000000|1.000000,8.331758|5.000000|1.000000,9.014560|5.000000|1.000000,5,59892850688.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,6,8.331758|5.000000|1.000000,0.026592493057250977,5.0,9.014560|5.000000|1.000000,8.331758|5.000000|1.000000,9.014560|5.000000|1.000000,5,31753537536.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,7,8.331758|5.000000|1.000000,0.026954174041748047,5.0,9.014560|5.000000|1.000000,8.331758|5.000000|1.000000,9.014560|5.000000|1.000000,5,56040239104.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,8,8.331758|5.000000|1.000000,0.026494979858398438,5.0,9.014560|5.000000|1.000000,8.331758|5.000000|1.000000,9.014560|5.000000|1.000000,5,79786328064.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,9,8.331758|5.000000|1.000000,0.026381492614746094,5.0,9.014560|5.000000|1.000000,8.331758|5.000000|1.000000,9.014560|5.000000|1.000000,5,86175342592.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,10,8.331758|5.000000|1.000000,0.026346445083618164,5.0,9.014560|5.000000|1.000000,8.331758|5.000000|1.000000,9.014560|5.000000|1.000000,5,77863116800.000000,N/A,2,5
