MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,0,10.173092|3.000000|2.000000,0.02877974510192871,3.0,9.927163|3.000000|2.000000,10.173092|3.000000|2.000000,9.927163|3.000000|2.000000,3,242212765696.000000,N/A,3,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,1,9.474507|3.000000|0.000000,0.028630495071411133,3.0,9.603683|3.000000|0.000000,9.474507|3.000000|0.000000,9.603683|3.000000|0.000000,3,116963033088.000000,N/A,3,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,2,9.474507|3.000000|0.000000,0.02783513069152832,3.0,9.603683|3.000000|0.000000,9.474507|3.000000|0.000000,9.603683|3.000000|0.000000,3,62449217536.000000,N/A,1,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,3,9.474507|3.000000|0.000000,0.028318166732788086,3.0,9.603683|3.000000|0.000000,9.474507|3.000000|0.000000,9.603683|3.000000|0.000000,3,5498654720.000000,N/A,1,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,4,9.301398|3.000000|0.000000,0.028108596801757812,3.0,9.311450|3.000000|0.000000,9.301398|3.000000|0.000000,9.311450|3.000000|0.000000,3,56049868800.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,5,9.301398|3.000000|0.000000,0.02618718147277832,3.0,9.311450|3.000000|0.000000,9.301398|3.000000|0.000000,9.311450|3.000000|0.000000,3,99718709248.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,6,9.301398|3.000000|0.000000,0.026219844818115234,3.0,9.311450|3.000000|0.000000,9.301398|3.000000|0.000000,9.311450|3.000000|0.000000,3,63060615168.000000,N/A,1,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,7,9.301398|3.000000|0.000000,0.026701927185058594,3.0,9.311450|3.000000|0.000000,9.301398|3.000000|0.000000,9.311450|3.000000|0.000000,3,20246857728.000000,N/A,1,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,8,9.274451|7.000000|0.000000,0.026310443878173828,7.0,9.035919|7.000000|0.000000,9.274451|7.000000|0.000000,9.035919|7.000000|0.000000,7,74350116864.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,9,9.274451|7.000000|0.000000,0.026096820831298828,7.0,9.035919|7.000000|0.000000,9.274451|7.000000|0.000000,9.035919|7.000000|0.000000,7,59288436736.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,10,9.274451|7.000000|0.000000,0.026171207427978516,7.0,9.035919|7.000000|0.000000,9.274451|7.000000|0.000000,9.035919|7.000000|0.000000,7,89376653312.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,11,7.830004|7.000000|1.000000,0.026058673858642578,7.0,8.225409|7.000000|1.000000,7.830004|7.000000|1.000000,8.225409|7.000000|1.000000,7,71271546880.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,12,7.830004|7.000000|1.000000,0.026175260543823242,7.0,8.225409|7.000000|1.000000,7.830004|7.000000|1.000000,8.225409|7.000000|1.000000,7,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,13,7.830004|7.000000|1.000000,0.025887012481689453,7.0,8.225409|7.000000|1.000000,7.830004|7.000000|1.000000,8.225409|7.000000|1.000000,7,61254778880.000000,N/A,2,5
