MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,0,9.701890|5.000000|2.000000,0.02875232696533203,5.0,11.121959|5.000000|2.000000,9.701890|5.000000|2.000000,11.121959|5.000000|2.000000,5,244178010112.000000,N/A,3,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,1,9.317049|3.000000|0.000000,0.02884674072265625,3.0,9.955996|3.000000|0.000000,9.317049|3.000000|0.000000,9.955996|3.000000|0.000000,3,125637599232.000000,N/A,3,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,2,8.352995|3.000000|1.000000,0.028580904006958008,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,80315449344.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,3,8.352995|3.000000|1.000000,0.027642250061035156,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,76102942720.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,4,8.352995|3.000000|1.000000,0.02814507484436035,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,63086272512.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,5,8.352995|3.000000|1.000000,0.026680707931518555,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,59234717696.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,6,8.352995|3.000000|1.000000,0.06467771530151367,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,89603252224.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,7,8.352995|3.000000|1.000000,0.027111291885375977,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,88024621056.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,8,8.352995|3.000000|1.000000,0.026482820510864258,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,52686229504.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,9,8.352995|3.000000|1.000000,0.02603888511657715,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,64706519040.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,10,8.352995|3.000000|1.000000,0.026186466217041016,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,47324205056.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,11,8.352995|3.000000|1.000000,0.026098251342773438,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,83776102400.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,12,8.352995|3.000000|1.000000,0.02663421630859375,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,93833216000.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,13,8.352995|3.000000|1.000000,0.025981426239013672,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,89896542208.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,14,8.352995|3.000000|1.000000,0.02735161781311035,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,36830650368.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,15,8.352995|3.000000|1.000000,0.02631235122680664,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,44332982272.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,16,8.352995|3.000000|1.000000,0.025878190994262695,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,65752018944.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,17,8.352995|3.000000|1.000000,0.026586055755615234,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,76834471936.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,18,8.352995|3.000000|1.000000,0.026213884353637695,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,66384916480.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,19,8.352995|3.000000|1.000000,0.026283979415893555,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,59206381568.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,20,8.352995|3.000000|1.000000,0.02541494369506836,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,43126759424.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,21,8.352995|3.000000|1.000000,0.02660536766052246,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,67984707584.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,22,8.352995|3.000000|1.000000,0.026331663131713867,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,81636646912.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,23,8.352995|3.000000|1.000000,0.026755094528198242,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,49504813056.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,24,8.352995|3.000000|1.000000,0.026314973831176758,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,101458231296.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,25,8.352995|3.000000|1.000000,0.026494979858398438,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,86437158912.000000,N/A,2,5
