MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,0,10.084611|3.000000|2.000000,0.028646230697631836,3.0,10.135233|3.000000|2.000000,10.084611|3.000000|2.000000,10.135233|3.000000|2.000000,3,243339870208.000000,N/A,3,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,1,9.483975|3.000000|0.000000,0.028702497482299805,3.0,9.581894|3.000000|0.000000,9.483975|3.000000|0.000000,9.581894|3.000000|0.000000,3,119571251200.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,2,8.645108|5.000000|1.000000,0.028205156326293945,5.0,8.786968|5.000000|1.000000,8.645108|5.000000|1.000000,8.786968|5.000000|1.000000,5,65986850816.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,3,8.645108|5.000000|1.000000,0.027981281280517578,5.0,8.786968|5.000000|1.000000,8.645108|5.000000|1.000000,8.786968|5.000000|1.000000,5,78767.335938,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,4,8.645108|5.000000|1.000000,0.028361082077026367,5.0,8.786968|5.000000|1.000000,8.645108|5.000000|1.000000,8.786968|5.000000|1.000000,5,105574883328.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,5,8.645108|5.000000|1.000000,0.025825023651123047,5.0,8.786968|5.000000|1.000000,8.645108|5.000000|1.000000,8.786968|5.000000|1.000000,5,76931932160.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,6,8.645108|5.000000|1.000000,0.026375770568847656,5.0,8.786968|5.000000|1.000000,8.645108|5.000000|1.000000,8.786968|5.000000|1.000000,5,47953383424.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,7,8.645108|5.000000|1.000000,0.027065038681030273,5.0,8.786968|5.000000|1.000000,8.645108|5.000000|1.000000,8.786968|5.000000|1.000000,5,63476150272.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,8,8.645108|5.000000|1.000000,0.026330232620239258,5.0,8.786968|5.000000|1.000000,8.645108|5.000000|1.000000,8.786968|5.000000|1.000000,5,84221493248.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,9,8.645108|5.000000|1.000000,0.026045560836791992,5.0,8.786968|5.000000|1.000000,8.645108|5.000000|1.000000,8.786968|5.000000|1.000000,5,86256197632.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,10,8.645108|5.000000|1.000000,0.026176929473876953,5.0,8.786968|5.000000|1.000000,8.645108|5.000000|1.000000,8.786968|5.000000|1.000000,5,81368858624.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,11,8.645108|5.000000|1.000000,0.02642226219177246,5.0,8.786968|5.000000|1.000000,8.645108|5.000000|1.000000,8.786968|5.000000|1.000000,5,80841826304.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,12,8.645108|5.000000|1.000000,0.02605581283569336,5.0,8.786968|5.000000|1.000000,8.645108|5.000000|1.000000,8.786968|5.000000|1.000000,5,64011878400.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,13,7.999949|7.000000|1.000000,0.026403427124023438,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,78557569024.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,14,7.999949|7.000000|1.000000,0.026697874069213867,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,106005143552.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,15,7.999949|7.000000|1.000000,0.026042938232421875,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,93713965056.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,16,7.999949|7.000000|1.000000,0.0642232894897461,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,50293362688.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,17,7.999949|7.000000|1.000000,0.026665687561035156,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,78146633728.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,18,7.999949|7.000000|1.000000,0.025987625122070312,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,84772478976.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,19,7.999949|7.000000|1.000000,0.02606940269470215,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,54206668800.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,20,7.999949|7.000000|1.000000,0.025476455688476562,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,82864480256.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,21,7.999949|7.000000|1.000000,0.026276588439941406,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,46281179136.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,22,7.999949|7.000000|1.000000,0.026326417922973633,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,58404487168.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,23,7.999949|7.000000|1.000000,0.02654743194580078,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,101300183040.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,24,7.999949|7.000000|1.000000,0.02703690528869629,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,52313681920.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,25,7.999949|7.000000|1.000000,0.026473045349121094,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,49613123584.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,26,7.999949|7.000000|1.000000,0.026311159133911133,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,99343089664.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,27,7.999949|7.000000|1.000000,0.02627253532409668,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,51595968512.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,28,7.999949|7.000000|1.000000,0.02708292007446289,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,71529988096.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,29,7.999949|7.000000|1.000000,0.026457786560058594,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,77446979584.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,30,7.999949|7.000000|1.000000,0.02713632583618164,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,13987035136.000000,N/A,2,5
