MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,0,9.382941|5.000000|2.000000,0.028737545013427734,5.0,11.741996|5.000000|2.000000,9.382941|5.000000|2.000000,11.741996|5.000000|2.000000,5,243221774336.000000,N/A,3,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,1,9.157696|3.000000|0.000000,0.02859783172607422,3.0,10.294576|3.000000|0.000000,9.157696|3.000000|0.000000,10.294576|3.000000|0.000000,3,117641158656.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,2,9.157696|3.000000|0.000000,0.027848243713378906,3.0,10.294576|3.000000|0.000000,9.157696|3.000000|0.000000,10.294576|3.000000|0.000000,3,62170079232.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,3,9.157696|3.000000|0.000000,0.028624296188354492,3.0,10.294576|3.000000|0.000000,9.157696|3.000000|0.000000,10.294576|3.000000|0.000000,3,46253338624.000000,N/A,1,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,4,8.934419|3.000000|0.000000,0.02806854248046875,3.0,10.113793|3.000000|0.000000,8.934419|3.000000|0.000000,10.113793|3.000000|0.000000,3,74285547520.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,5,7.857823|5.000000|1.000000,0.026694774627685547,5.0,8.963778|5.000000|1.000000,7.857823|5.000000|1.000000,8.963778|5.000000|1.000000,5,92799926272.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,6,7.857823|5.000000|1.000000,0.026344776153564453,5.0,8.963778|5.000000|1.000000,7.857823|5.000000|1.000000,8.963778|5.000000|1.000000,5,63188545536.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,7,7.857823|5.000000|1.000000,0.02701592445373535,5.0,8.963778|5.000000|1.000000,7.857823|5.000000|1.000000,8.963778|5.000000|1.000000,5,89546817536.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,8,7.857823|5.000000|1.000000,0.026480436325073242,5.0,8.963778|5.000000|1.000000,7.857823|5.000000|1.000000,8.963778|5.000000|1.000000,5,63492587520.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,9,7.857823|5.000000|1.000000,0.026356935501098633,5.0,8.963778|5.000000|1.000000,7.857823|5.000000|1.000000,8.963778|5.000000|1.000000,5,36618059776.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,10,7.857823|5.000000|1.000000,0.02617025375366211,5.0,8.963778|5.000000|1.000000,7.857823|5.000000|1.000000,8.963778|5.000000|1.000000,5,42756489216.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,11,7.608275|7.000000|1.000000,0.02643728256225586,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,62224064512.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,12,7.608275|7.000000|1.000000,0.026612281799316406,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,55524675584.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,13,7.608275|7.000000|1.000000,0.026139020919799805,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,63881646080.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,14,7.608275|7.000000|1.000000,0.027016162872314453,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,95035793408.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,15,7.608275|7.000000|1.000000,0.026397705078125,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,47758843904.000000,N/A,2,5
