MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,0,9.880527|5.000000|2.000000,0.028799772262573242,5.0,10.749463|5.000000|2.000000,9.880527|5.000000|2.000000,10.749463|5.000000|2.000000,5,243624722432.000000,N/A,3,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,1,9.581656|3.000000|0.000000,0.028975963592529297,3.0,9.352828|3.000000|0.000000,9.581656|3.000000|0.000000,9.352828|3.000000|0.000000,3,115581296640.000000,N/A,3,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,2,8.620060|3.000000|1.000000,0.028177976608276367,3.0,8.844093|3.000000|1.000000,8.620060|3.000000|1.000000,8.844093|3.000000|1.000000,3,49281994752.000000,N/A,3,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,3,8.620060|3.000000|1.000000,0.028285503387451172,3.0,8.844093|3.000000|1.000000,8.620060|3.000000|1.000000,8.844093|3.000000|1.000000,3,56120328192.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,4,8.620060|3.000000|1.000000,0.028735637664794922,3.0,8.844093|3.000000|1.000000,8.620060|3.000000|1.000000,8.844093|3.000000|1.000000,3,12150438912.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,5,8.620060|3.000000|1.000000,0.027167320251464844,3.0,8.844093|3.000000|1.000000,8.620060|3.000000|1.000000,8.844093|3.000000|1.000000,3,61385216000.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,6,8.620060|3.000000|1.000000,0.02591872215270996,3.0,8.844093|3.000000|1.000000,8.620060|3.000000|1.000000,8.844093|3.000000|1.000000,3,388331.156250,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,7,8.620060|3.000000|1.000000,0.027013540267944336,3.0,8.844093|3.000000|1.000000,8.620060|3.000000|1.000000,8.844093|3.000000|1.000000,3,73720709120.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,8,8.620060|3.000000|1.000000,0.02677321434020996,3.0,8.844093|3.000000|1.000000,8.620060|3.000000|1.000000,8.844093|3.000000|1.000000,3,60430045184.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,9,8.620060|3.000000|1.000000,0.026653051376342773,3.0,8.844093|3.000000|1.000000,8.620060|3.000000|1.000000,8.844093|3.000000|1.000000,3,65634123776.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,10,8.620060|3.000000|1.000000,0.02626776695251465,3.0,8.844093|3.000000|1.000000,8.620060|3.000000|1.000000,8.844093|3.000000|1.000000,3,46271172608.000000,N/A,2,5
