MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,0,9.558846|3.000000,0.03085184097290039,3.0,9.446725|3.000000,9.558846|3.000000,9.446725|3.000000,3,244536262656.000000,N/A,2,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,1,4.507786|3.000000,0.022690534591674805,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,146916163584.000000,N/A,2,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,2,4.507786|3.000000,0.021742582321166992,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,109203570688.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,3,4.507786|3.000000,0.021341800689697266,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,109420462080.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,4,4.507786|3.000000,0.020462512969970703,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,78129004544.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,5,4.507786|3.000000,0.01982569694519043,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,91724292096.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,6,4.507786|3.000000,0.020872116088867188,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,107349573632.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,7,4.507786|3.000000,0.0195314884185791,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,93594525696.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,8,4.507786|3.000000,0.01921367645263672,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,112524353536.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,9,4.507786|3.000000,0.01919245719909668,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,78895849472.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,10,4.507786|3.000000,0.01889824867248535,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,69407907840.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,11,4.507786|3.000000,0.018069744110107422,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,49937338368.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,12,4.507786|3.000000,0.01944899559020996,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,65741803520.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,13,4.507786|3.000000,0.0200960636138916,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,127007342592.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,14,4.507786|3.000000,0.019412517547607422,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,74462724096.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,15,4.507786|3.000000,0.018503427505493164,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,100297728000.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,16,4.507786|3.000000,0.01942586898803711,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,80013000704.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,17,4.507786|3.000000,0.020019054412841797,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,70534389760.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,18,4.507786|3.000000,0.01982426643371582,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,65847365632.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,19,4.507786|3.000000,0.0192105770111084,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,75084324864.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,20,4.507786|3.000000,0.01895451545715332,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,24104609792.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,21,4.507786|3.000000,0.019885778427124023,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,99498745856.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,22,4.507786|3.000000,0.019155502319335938,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,113521926144.000000,N/A,1,5
