MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,0,9.380573|3.000000,0.030652999877929688,3.0,9.853409|3.000000,9.380573|3.000000,9.853409|3.000000,3,243926466560.000000,N/A,2,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,1,4.598747|3.000000,0.022749662399291992,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,146902794240.000000,N/A,2,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,2,4.598747|3.000000,0.02183222770690918,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,109272383488.000000,N/A,2,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,3,4.598747|3.000000,0.021297454833984375,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,109238009856.000000,N/A,2,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,4,4.598747|3.000000,0.02032947540283203,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,75922661376.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,5,4.598747|3.000000,0.019426822662353516,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,81417707520.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,6,4.598747|3.000000,0.020627498626708984,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,150021013504.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,7,4.598747|3.000000,0.019286632537841797,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,60818509824.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,8,4.598747|3.000000,0.018923044204711914,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,42885267456.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,9,4.598747|3.000000,0.01947498321533203,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,50444947456.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,10,4.598747|3.000000,0.018865346908569336,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,64497577984.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,11,4.598747|3.000000,0.019059181213378906,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,102098862080.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,12,4.598747|3.000000,0.019682645797729492,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,118188523520.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,13,4.598747|3.000000,0.01988816261291504,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,136549187584.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,14,4.598747|3.000000,0.020136594772338867,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,86276472832.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,15,4.598747|3.000000,0.019236087799072266,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,105997066240.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,16,4.598747|3.000000,0.019395828247070312,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,54584991744.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,17,4.598747|3.000000,0.019844770431518555,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,85362376704.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,18,4.598747|3.000000,0.019041776657104492,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,48282447872.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,19,4.598747|3.000000,0.019011259078979492,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,99497123840.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,20,4.598747|3.000000,0.01899576187133789,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,55165489152.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,21,4.598747|3.000000,0.020200490951538086,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,96462118912.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,22,4.598747|3.000000,0.019185781478881836,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,102658097152.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,23,4.598747|3.000000,0.018828630447387695,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,264051920.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,24,4.598747|3.000000,0.019305944442749023,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,125576077312.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,25,4.598747|3.000000,0.020245790481567383,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,113819836416.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,26,4.598747|3.000000,0.02055644989013672,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,96116031488.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,27,4.598747|3.000000,0.0189054012298584,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,64496148480.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,28,4.598747|3.000000,0.01955723762512207,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,105851576320.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,29,4.598747|3.000000,0.018878936767578125,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,49945169920.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,30,4.598747|3.000000,0.060182809829711914,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,99498352640.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,31,4.598747|3.000000,0.01877284049987793,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,186985792.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,32,4.598747|3.000000,0.019330978393554688,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,70533029888.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,33,4.598747|3.000000,0.01961994171142578,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,100233003008.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,34,4.598747|3.000000,0.019527912139892578,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,127989407744.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,35,4.598747|3.000000,0.019954204559326172,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,74257637376.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,36,4.598747|3.000000,0.019750118255615234,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,110374518784.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,37,4.598747|3.000000,0.020154953002929688,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,99778658304.000000,N/A,1,5
