MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,0,9.414386|3.000000,0.03075718879699707,3.0,9.778153|3.000000,9.414386|3.000000,9.778153|3.000000,3,244259831808.000000,N/A,2,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,1,4.544744|3.000000,0.022809982299804688,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,146962071552.000000,N/A,2,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,2,4.544744|3.000000,0.02166438102722168,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,109363224576.000000,N/A,2,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,3,4.544744|3.000000,0.021075725555419922,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,109555548160.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,4,4.544744|3.000000,0.02071690559387207,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,102428418048.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,5,4.544744|3.000000,0.020111799240112305,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,89036210176.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,6,4.544744|3.000000,0.019785642623901367,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,129063018496.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,7,4.544744|3.000000,0.019453048706054688,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,70533677056.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,8,4.544744|3.000000,0.018373727798461914,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,69162287104.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,9,4.544744|3.000000,0.019207239151000977,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,117039816704.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,10,4.544744|3.000000,0.019425630569458008,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,77593214976.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,11,4.544744|3.000000,0.01901984214782715,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,96250167296.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,12,4.544744|3.000000,0.019217491149902344,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,128886505472.000000,N/A,1,5
