MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,0,9.564620|3.000000,0.030483484268188477,3.0,9.433132|3.000000,9.564620|3.000000,9.433132|3.000000,3,244154695680.000000,N/A,2,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,1,4.557420|3.000000,0.02258920669555664,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,147053232128.000000,N/A,2,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,2,4.557420|3.000000,0.021879911422729492,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,109565386752.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,3,4.557420|3.000000,0.021140575408935547,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,109701955584.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,4,4.557420|3.000000,0.02028203010559082,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,78101372928.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,5,4.557420|3.000000,0.019750595092773438,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,91479384064.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,6,4.557420|3.000000,0.020612239837646484,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,117909618688.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,7,4.557420|3.000000,0.019368648529052734,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,111435497472.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,8,4.557420|3.000000,0.019080162048339844,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,103054925824.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,9,4.557420|3.000000,0.01969146728515625,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,86276857856.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,10,4.557420|3.000000,0.019246578216552734,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,112592478208.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,11,4.557420|3.000000,0.018687963485717773,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,82696241152.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,12,4.557420|3.000000,0.01898050308227539,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,49937465344.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,13,4.557420|3.000000,0.019957304000854492,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,88742240256.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,14,4.557420|3.000000,0.019293546676635742,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,85583306752.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,15,4.557420|3.000000,0.019191980361938477,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,106210156544.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,16,4.557420|3.000000,0.01949286460876465,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,67204837376.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,17,4.557420|3.000000,0.05711770057678223,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,99246718976.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,18,4.557420|3.000000,0.019759416580200195,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,44281913344.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,19,4.557420|3.000000,0.018755674362182617,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,85604884480.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,20,4.557420|3.000000,0.01903557777404785,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,69576572928.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,21,4.557420|3.000000,0.019605159759521484,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,99452084224.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,22,4.557420|3.000000,0.018656253814697266,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,60313563136.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,23,4.557420|3.000000,0.01839280128479004,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,73923043328.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,24,4.557420|3.000000,0.019636869430541992,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,105873416192.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,25,4.557420|3.000000,0.02000737190246582,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,159904399360.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,26,4.557420|3.000000,0.0204925537109375,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,62027083776.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,27,4.557420|3.000000,0.018085479736328125,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,43422429184.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,28,4.557420|3.000000,0.0195159912109375,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,122507894784.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,29,4.557420|3.000000,0.019281387329101562,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,99498377216.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,30,4.557420|3.000000,0.018721818923950195,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,93233995776.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,31,4.557420|3.000000,0.018703937530517578,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,49937457152.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,32,4.557420|3.000000,0.01894831657409668,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,106229932032.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,33,4.557420|3.000000,0.01921558380126953,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,126210359296.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,34,4.557420|3.000000,0.019838333129882812,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,130515861504.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,35,4.557420|3.000000,0.019686222076416016,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,74875846656.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,36,4.557420|3.000000,0.019734859466552734,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,106520961024.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,37,4.557420|3.000000,0.01994037628173828,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,104397537280.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,38,4.557420|3.000000,0.019053220748901367,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,106550411264.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,39,4.557420|3.000000,0.01807999610900879,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,49937330176.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,40,4.557420|3.000000,0.018897056579589844,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,103402799104.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,41,4.557420|3.000000,0.019083738327026367,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,72574164992.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,42,4.557420|3.000000,0.019014596939086914,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,116243193856.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,43,4.557420|3.000000,0.019710540771484375,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,135001047040.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,44,4.557420|3.000000,0.019822359085083008,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,143579824128.000000,N/A,1,5
