MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,0,9.490593|3.000000,0.09500551223754883,3.0,9.605370|3.000000,9.490593|3.000000,9.605370|3.000000,3,244205207552.000000,N/A,2,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,1,4.365190|3.000000,0.07618594169616699,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,146956812288.000000,N/A,2,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,2,4.365190|3.000000,0.051273345947265625,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,109425860608.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,3,4.365190|3.000000,0.05016684532165527,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,109540352000.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,4,4.365190|3.000000,0.06241202354431152,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,77786750976.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,5,4.365190|3.000000,0.05442667007446289,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,91736162304.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,6,4.365190|3.000000,0.04504823684692383,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,117948489728.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,7,4.365190|3.000000,0.050040245056152344,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,99498762240.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,8,4.365190|3.000000,0.0333857536315918,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,109804552192.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,9,4.365190|3.000000,0.048023223876953125,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,46916816896.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,10,4.365190|3.000000,0.0488889217376709,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,49952456704.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,11,4.365190|3.000000,0.13622331619262695,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,85247787008.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,12,4.365190|3.000000,0.04502439498901367,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,92598804480.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,13,4.365190|3.000000,0.04505586624145508,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,138136469504.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,14,4.365190|3.000000,0.03891801834106445,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,78278549504.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,15,4.365190|3.000000,0.050521135330200195,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,106304479232.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,16,4.365190|3.000000,0.04912757873535156,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,79189565440.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,17,4.365190|3.000000,0.055422306060791016,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,93989330944.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,18,4.365190|3.000000,0.051689863204956055,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,106821074944.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,19,4.365190|3.000000,0.0540924072265625,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,73084215296.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,20,4.365190|3.000000,0.047971487045288086,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,48522317824.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,21,4.365190|3.000000,0.05003976821899414,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,86276595712.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,22,4.365190|3.000000,0.049829721450805664,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,102233169920.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,23,4.365190|3.000000,0.04580879211425781,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,99682582528.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,24,4.365190|3.000000,0.04552268981933594,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,85470134272.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,25,4.365190|3.000000,0.04907369613647461,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,104254676992.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,26,4.365190|3.000000,0.05203700065612793,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,93357277184.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,27,4.365190|3.000000,0.04121208190917969,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,70533283840.000000,N/A,1,5
