MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,0,9.423562|3.000000,0.030570030212402344,3.0,9.757585|3.000000,9.423562|3.000000,9.757585|3.000000,3,244372914176.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,1,4.570655|3.000000,0.022708415985107422,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,147119276032.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,2,4.570655|3.000000,0.021902799606323242,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,109525606400.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,3,4.570655|3.000000,0.021039724349975586,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,109764976640.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,4,4.570655|3.000000,0.020261764526367188,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,78027612160.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,5,4.570655|3.000000,0.019850969314575195,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,91599699968.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,6,4.570655|3.000000,0.020668745040893555,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,118013313024.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,7,4.570655|3.000000,0.019367218017578125,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,105715884032.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,8,4.570655|3.000000,0.019100427627563477,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,103123206144.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,9,4.570655|3.000000,0.01984548568725586,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,86276857856.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,10,4.570655|3.000000,0.01926875114440918,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,112576864256.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,11,4.570655|3.000000,0.01874685287475586,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,82752045056.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,12,4.570655|3.000000,0.018826961517333984,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,49937465344.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,13,4.570655|3.000000,0.01983189582824707,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,126319779840.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,14,4.570655|3.000000,0.019904136657714844,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,82751455232.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,15,4.570655|3.000000,0.018737077713012695,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,89731178496.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,16,4.570655|3.000000,0.01959848403930664,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,75990695936.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,17,4.570655|3.000000,0.020349502563476562,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,106698833920.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,18,4.570655|3.000000,0.01943039894104004,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,49937305600.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,19,4.570655|3.000000,0.01942586898803711,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,111157428224.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,20,4.570655|3.000000,0.019087553024291992,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,21,4.570655|3.000000,0.0196990966796875,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,94205075456.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,22,4.570655|3.000000,0.018538713455200195,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,60238045184.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,23,4.570655|3.000000,0.018589019775390625,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,70533390336.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,24,4.570655|3.000000,0.019865036010742188,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,83749855232.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,25,4.570655|3.000000,0.019680023193359375,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,151488331776.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,26,4.570655|3.000000,0.02047276496887207,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,69507473408.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,27,4.570655|3.000000,0.01861095428466797,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,78693531648.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,28,4.570655|3.000000,0.01967000961303711,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,106983727104.000000,N/A,1,5
