MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,0,9.551250|3.000000,0.03062891960144043,3.0,9.464570|3.000000,9.551250|3.000000,9.464570|3.000000,3,244384317440.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,1,4.554414|3.000000,0.022697925567626953,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,147040550912.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,2,4.554414|3.000000,0.0216982364654541,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,109402169344.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,3,4.554414|3.000000,0.021122217178344727,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,109509754880.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,4,4.554414|3.000000,0.02039504051208496,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,78170972160.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,5,4.554414|3.000000,0.0196077823638916,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,91812126720.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,6,4.554414|3.000000,0.020623207092285156,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,117935636480.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,7,4.554414|3.000000,0.019498825073242188,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,105688227840.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,8,4.554414|3.000000,0.01898193359375,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,103112663040.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,9,4.554414|3.000000,0.019759654998779297,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,86276857856.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,10,4.554414|3.000000,0.019175052642822266,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,112469303296.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,11,4.554414|3.000000,0.01863837242126465,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,82696241152.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,12,4.554414|3.000000,0.01897907257080078,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,49937326080.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,13,4.554414|3.000000,0.019837379455566406,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,93437427712.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,14,4.554414|3.000000,0.019649744033813477,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,82696232960.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,15,4.554414|3.000000,0.018511533737182617,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,82696921088.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,16,4.554414|3.000000,0.019506454467773438,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,75958681600.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,17,4.554414|3.000000,0.01994919776916504,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,129610883072.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,18,4.554414|3.000000,0.019344568252563477,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,49937313792.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,19,4.554414|3.000000,0.01887798309326172,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,104987017216.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,20,4.554414|3.000000,0.019100427627563477,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,43421229056.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,21,4.554414|3.000000,0.020117759704589844,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,63167680512.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,22,4.554414|3.000000,0.018956422805786133,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,128830865408.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,23,4.554414|3.000000,0.018213748931884766,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,49937473536.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,24,4.554414|3.000000,0.019455909729003906,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,70537396224.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,25,4.554414|3.000000,0.019559144973754883,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,136699805696.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,26,4.554414|3.000000,0.019988298416137695,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,99498721280.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,27,4.554414|3.000000,0.019118070602416992,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,78993080320.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,28,4.554414|3.000000,0.019536733627319336,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,90032726016.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,29,4.554414|3.000000,0.019361257553100586,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,78195531776.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,30,4.554414|3.000000,0.01854991912841797,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,70533267456.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,31,4.554414|3.000000,0.020848751068115234,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,60993105920.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,32,4.554414|3.000000,0.01867389678955078,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,78984921088.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,33,4.554414|3.000000,0.019252300262451172,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,85435981824.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,34,4.554414|3.000000,0.02031111717224121,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,105544769536.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,35,4.554414|3.000000,0.019594669342041016,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,71937433600.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,36,4.554414|3.000000,0.020463943481445312,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,151855448064.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,37,4.554414|3.000000,0.019506454467773438,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,106338369536.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,38,4.554414|3.000000,0.018921613693237305,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,96441729024.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,39,4.554414|3.000000,0.018524646759033203,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,79828058112.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,40,4.554414|3.000000,0.018960952758789062,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,100931215360.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,41,4.554414|3.000000,0.018627166748046875,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,120890605568.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,42,4.554414|3.000000,0.01947307586669922,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,79363899392.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,43,4.554414|3.000000,0.01957869529724121,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,85335924736.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,44,4.554414|3.000000,0.019847631454467773,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,121320529920.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,45,4.554414|3.000000,0.01937723159790039,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,70533644288.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,46,4.554414|3.000000,0.01900649070739746,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,85334687744.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,47,4.554414|3.000000,0.019073009490966797,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,85610676224.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,48,4.554414|3.000000,0.019992828369140625,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,106910441472.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,49,4.554414|3.000000,0.019137859344482422,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,103261659136.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,50,4.554414|3.000000,0.019569873809814453,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,93235986432.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,51,4.554414|3.000000,0.018565654754638672,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,120888582144.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,52,4.554414|3.000000,0.019290447235107422,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,70533570560.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,53,4.554414|3.000000,0.020021438598632812,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,96361275392.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,54,4.554414|3.000000,0.019234180450439453,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,91976867840.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,55,4.554414|3.000000,0.01896977424621582,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,83307503616.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,56,4.554414|3.000000,0.019553422927856445,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,144262692864.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,57,4.554414|3.000000,0.01983785629272461,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,111688187904.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,58,4.554414|3.000000,0.01924419403076172,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,37297205248.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,59,4.554414|3.000000,0.01926112174987793,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,95578259456.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,60,4.554414|3.000000,0.019205808639526367,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,79828172800.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,61,4.554414|3.000000,0.01928114891052246,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,103327023104.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,62,4.554414|3.000000,0.019568920135498047,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,86281928704.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,63,4.554414|3.000000,0.019692420959472656,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,85082120192.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,64,4.554414|3.000000,0.01894974708557129,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,69486542848.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,65,4.554414|3.000000,0.018969058990478516,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,106199736320.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,66,4.554414|3.000000,0.018909692764282227,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,98684870656.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,67,4.554414|3.000000,0.019628524780273438,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,59063304192.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,68,4.554414|3.000000,0.01861572265625,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,86201040896.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,69,4.554414|3.000000,0.018846511840820312,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,111117975552.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,70,4.554414|3.000000,0.019400596618652344,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,122938671104.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,71,4.554414|3.000000,0.01938009262084961,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,111174516736.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,72,4.554414|3.000000,0.019936800003051758,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,111404138496.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,73,4.554414|3.000000,0.020020484924316406,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,88755912704.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,74,4.554414|3.000000,0.020032882690429688,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,80346775552.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,75,4.554414|3.000000,0.019802331924438477,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,75461951488.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,76,4.554414|3.000000,0.019551515579223633,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,96417554432.000000,N/A,1,5
