MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,0,9.524961|3.000000,0.030730009078979492,3.0,9.525956|3.000000,9.524961|3.000000,9.525956|3.000000,3,244556496896.000000,N/A,2,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,1,4.497596|3.000000,0.02270960807800293,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,147018498048.000000,N/A,2,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,2,4.497596|3.000000,0.021888017654418945,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,109413130240.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,3,4.497596|3.000000,0.021082639694213867,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,109462781952.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,4,4.497596|3.000000,0.020304441452026367,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,78005125120.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,5,4.497596|3.000000,0.019849777221679688,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,91835768832.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,6,4.497596|3.000000,0.020699024200439453,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,117963718656.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,7,4.497596|3.000000,0.01949024200439453,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,111414870016.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,8,4.497596|3.000000,0.01914525032043457,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,102949027840.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,9,4.497596|3.000000,0.019809722900390625,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,86276866048.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,10,4.497596|3.000000,0.019288063049316406,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,112513982464.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,11,4.497596|3.000000,0.018873214721679688,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,82584502272.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,12,4.497596|3.000000,0.018947839736938477,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,49937465344.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,13,4.497596|3.000000,0.01996159553527832,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,126852177920.000000,N/A,1,5
