MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,0,9.544436|3.000000,0.090667724609375,3.0,9.480536|3.000000,9.544436|3.000000,9.480536|3.000000,3,244199587840.000000,N/A,2,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,1,4.751816|3.000000,0.07235503196716309,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,146794070016.000000,N/A,2,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,2,4.751816|3.000000,0.05316948890686035,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,109137551360.000000,N/A,2,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,3,4.751816|3.000000,0.05335283279418945,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,109121691648.000000,N/A,2,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,4,4.751816|3.000000,0.05235457420349121,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,103095541760.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,5,4.751816|3.000000,0.05061793327331543,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,58974158848.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,6,4.751816|3.000000,0.05083942413330078,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,101905219584.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,7,4.751816|3.000000,0.04724431037902832,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,103003127808.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,8,4.751816|3.000000,0.04089164733886719,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,86861602816.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,9,4.751816|3.000000,0.04857277870178223,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,87816511488.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,10,4.751816|3.000000,0.048804283142089844,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,16332700672.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,11,4.751816|3.000000,0.03281807899475098,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,107208753152.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,12,4.751816|3.000000,0.03775167465209961,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,60981161984.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,13,4.751816|3.000000,0.051073312759399414,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,14,4.751816|3.000000,0.050751686096191406,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,81021788160.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,15,4.751816|3.000000,0.03924989700317383,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,1004243200.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,16,4.751816|3.000000,0.04743528366088867,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,61041987584.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,17,4.751816|3.000000,0.050345420837402344,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,70533693440.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,18,4.751816|3.000000,0.04887032508850098,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,94395072512.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,19,4.751816|3.000000,0.03763604164123535,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,78462402560.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,20,4.751816|3.000000,0.050072431564331055,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,49937465344.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,21,4.751816|3.000000,0.05193972587585449,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,100422901760.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,22,4.751816|3.000000,0.04666280746459961,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,80858071040.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,23,4.751816|3.000000,0.04426002502441406,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,84459266048.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,24,4.751816|3.000000,0.04873299598693848,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,70533251072.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,25,4.751816|3.000000,0.04240536689758301,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,126405476352.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,26,4.751816|3.000000,0.051892757415771484,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,102854434816.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,27,4.751816|3.000000,0.03334236145019531,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,110292746240.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,28,4.751816|3.000000,0.03332781791687012,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,75313291264.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,29,4.751816|3.000000,0.04380321502685547,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,86276546560.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,30,4.751816|3.000000,0.045914649963378906,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,82671190016.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,31,4.751816|3.000000,0.04465007781982422,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,81297244160.000000,N/A,1,5
