MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,0,9.382293|3.000000,0.10134077072143555,3.0,9.849599|3.000000,9.382293|3.000000,9.849599|3.000000,3,244412596224.000000,N/A,2,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,1,4.625110|3.000000,0.09062314033508301,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,146982928384.000000,N/A,2,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,2,4.625110|3.000000,0.05558609962463379,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,109424173056.000000,N/A,2,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,3,4.625110|3.000000,0.049962759017944336,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,109604069376.000000,N/A,2,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,4,4.625110|3.000000,0.0500028133392334,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,102071902208.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,5,4.625110|3.000000,0.0499422550201416,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,86544515072.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,6,4.625110|3.000000,0.0499725341796875,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,124516589568.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,7,4.625110|3.000000,0.05005311965942383,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,91507638272.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,8,4.625110|3.000000,0.04949808120727539,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,114892980224.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,9,4.625110|3.000000,0.05006885528564453,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,46618935296.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,10,4.625110|3.000000,0.05000710487365723,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,44140113920.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,11,4.625110|3.000000,0.046291351318359375,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,89611689984.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,12,4.625110|3.000000,0.049936771392822266,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,70870818816.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,13,4.625110|3.000000,0.05661582946777344,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,136081629184.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,14,4.625110|3.000000,0.050579071044921875,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,92941762560.000000,N/A,1,5
