MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,0,9.597987|3.000000,0.030935287475585938,3.0,9.354012|3.000000,9.597987|3.000000,9.354012|3.000000,3,244767670272.000000,N/A,2,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,1,4.559990|3.000000,0.022835969924926758,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,147092996096.000000,N/A,2,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,2,4.559990|3.000000,0.02173304557800293,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,109426982912.000000,N/A,2,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,3,4.559990|3.000000,0.021405696868896484,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,109642137600.000000,N/A,2,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,4,4.559990|3.000000,0.020339012145996094,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,76225699840.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,5,4.559990|3.000000,0.01950359344482422,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,81895596032.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,6,4.559990|3.000000,0.020613431930541992,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,150098214912.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,7,4.559990|3.000000,0.01932382583618164,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,61420257280.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,8,4.559990|3.000000,0.018909215927124023,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,43476746240.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,9,4.559990|3.000000,0.019504070281982422,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,70335332352.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,10,4.559990|3.000000,0.01884150505065918,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,77039689728.000000,N/A,1,5
