MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,0,9.623449|3.000000,0.03063201904296875,3.0,9.292997|3.000000,9.623449|3.000000,9.292997|3.000000,3,244547780608.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,1,4.541265|3.000000,0.022722959518432617,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,146942738432.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,2,4.541265|3.000000,0.021933794021606445,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,109197803520.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,3,4.541265|3.000000,0.021167755126953125,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,109387816960.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,4,4.541265|3.000000,0.02031993865966797,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,78297022464.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,5,4.541265|3.000000,0.019762516021728516,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,92013879296.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,6,4.541265|3.000000,0.02076268196105957,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,118140796928.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,7,4.541265|3.000000,0.019454002380371094,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,105882836992.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,8,4.541265|3.000000,0.019054651260375977,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,103046864896.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,9,4.541265|3.000000,0.019831180572509766,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,86276857856.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,10,4.541265|3.000000,0.019173622131347656,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,112553574400.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,11,4.541265|3.000000,0.018851280212402344,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,82500599808.000000,N/A,1,5
