MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,0,9.481293|3.000000,0.030776262283325195,3.0,9.626698|3.000000,9.481293|3.000000,9.626698|3.000000,3,244593344512.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,1,4.389738|3.000000,0.022725820541381836,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,147204177920.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,2,4.389738|3.000000,0.021842002868652344,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,109474881536.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,3,4.389738|3.000000,0.021468639373779297,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,110117494784.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,4,4.389738|3.000000,0.020758390426635742,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,102133891072.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,5,4.389738|3.000000,0.020123720169067383,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,89166848000.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,6,4.389738|3.000000,0.01975703239440918,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,129291493376.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,7,4.389738|3.000000,0.019474267959594727,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,70533677056.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,8,4.389738|3.000000,0.01848006248474121,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,69356216320.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,9,4.389738|3.000000,0.01944875717163086,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,117240176640.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,10,4.389738|3.000000,0.01955437660217285,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,78363385856.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,11,4.389738|3.000000,0.019018888473510742,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,108444868608.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,12,4.389738|3.000000,0.019357681274414062,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,119448649728.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,13,4.389738|3.000000,0.020192861557006836,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,125084213248.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,14,4.389738|3.000000,0.01929163932800293,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,2600249856.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,15,4.389738|3.000000,0.018565893173217773,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,90787012608.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,16,4.389738|3.000000,0.019405126571655273,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,107049164800.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,17,4.389738|3.000000,0.01979851722717285,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,94202593280.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,18,4.389738|3.000000,0.01958012580871582,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,96418381824.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,19,4.389738|3.000000,0.019556045532226562,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,20,4.389738|3.000000,0.018619775772094727,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,85524168704.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,21,4.389738|3.000000,0.020006179809570312,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,113857052672.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,22,4.389738|3.000000,0.019489049911499023,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,23,4.389738|3.000000,0.01897287368774414,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,66275700736.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,24,4.389738|3.000000,0.019556045532226562,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,98193211392.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,25,4.389738|3.000000,0.019834280014038086,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,66093740032.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,26,4.389738|3.000000,0.019797563552856445,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,137352921088.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,27,4.389738|3.000000,0.018916606903076172,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,70105481216.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,28,4.389738|3.000000,0.019937515258789062,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,79711043584.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,29,4.389738|3.000000,0.01878666877746582,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,153493200.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,30,4.389738|3.000000,0.019083499908447266,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,50139656192.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,31,4.389738|3.000000,0.018882036209106445,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,80715972608.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,32,4.389738|3.000000,0.019212007522583008,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,55495065600.000000,N/A,1,5
