MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,0,9.423391|3.000000|0.000000,0.02913665771484375,3.0,9.757966|3.000000|0.000000,9.423391|3.000000|0.000000,9.757966|3.000000|0.000000,3,244741570560.000000,N/A,3,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,1,4.610571|3.000000|1.000000,0.0291593074798584,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,90602446848.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,2,4.610571|3.000000|1.000000,0.027211904525756836,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,111102435328.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,3,4.610571|3.000000|1.000000,0.02847599983215332,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,68404719616.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,4,4.610571|3.000000|1.000000,0.02713918685913086,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,70533660672.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,5,4.610571|3.000000|1.000000,0.026499509811401367,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,96205258752.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,6,4.610571|3.000000|1.000000,0.027048110961914062,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,87533592576.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,7,4.610571|3.000000|1.000000,0.026844024658203125,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,77927014400.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,8,4.610571|3.000000|1.000000,0.026615142822265625,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,84449026048.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,9,4.610571|3.000000|1.000000,0.026943206787109375,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,72427585536.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,10,4.610571|3.000000|1.000000,0.026990175247192383,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,86278512640.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,11,4.610571|3.000000|1.000000,0.026027679443359375,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,94673379328.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,12,4.610571|3.000000|1.000000,0.026836395263671875,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,44512456704.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,13,4.610571|3.000000|1.000000,0.027109384536743164,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,79204122624.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,14,4.610571|3.000000|1.000000,0.026698589324951172,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,62718119936.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,15,4.610571|3.000000|1.000000,0.02693653106689453,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,99498442752.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,16,4.610571|3.000000|1.000000,0.02621769905090332,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,2475523840.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,17,4.610571|3.000000|1.000000,0.028143644332885742,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,86305079296.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,18,4.610571|3.000000|1.000000,0.06510639190673828,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,99498704896.000000,N/A,2,5
