MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,0,9.414386|3.000000|0.000000,0.029025793075561523,3.0,9.778153|3.000000|0.000000,9.414386|3.000000|0.000000,9.778153|3.000000|0.000000,3,244259831808.000000,N/A,3,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,1,4.544744|3.000000|1.000000,0.02915811538696289,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,90524196864.000000,N/A,3,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,2,4.544744|3.000000|1.000000,0.0639958381652832,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,111102435328.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,3,4.544744|3.000000|1.000000,0.028142929077148438,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,70533611520.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,4,4.544744|3.000000|1.000000,0.028328418731689453,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,35023806464.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,5,4.544744|3.000000|1.000000,0.02661919593811035,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,77004357632.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,6,4.544744|3.000000|1.000000,0.027055025100708008,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,72249876480.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,7,4.544744|3.000000|1.000000,0.0269317626953125,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,77719920640.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,8,4.544744|3.000000|1.000000,0.027067184448242188,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,110709702656.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,9,4.544744|3.000000|1.000000,0.02665257453918457,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,85416067072.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,10,4.544744|3.000000|1.000000,0.027298450469970703,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,109240811520.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,11,4.544744|3.000000|1.000000,0.026383638381958008,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,70533693440.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,12,4.544744|3.000000|1.000000,0.026134729385375977,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,103015391232.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,13,4.544744|3.000000|1.000000,0.027080774307250977,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,113545003008.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,14,4.544744|3.000000|1.000000,0.026398181915283203,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,86277185536.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,15,4.544744|3.000000|1.000000,0.026727914810180664,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,85416017920.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,16,4.544744|3.000000|1.000000,0.025625944137573242,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,86277144576.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,17,4.544744|3.000000|1.000000,0.02720785140991211,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,86276849664.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,18,4.544744|3.000000|1.000000,0.027297258377075195,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,7772909568.000000,N/A,2,5
