MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,0,9.564620|3.000000|0.000000,0.0291595458984375,3.0,9.433132|3.000000|0.000000,9.564620|3.000000|0.000000,9.433132|3.000000|0.000000,3,244154695680.000000,N/A,3,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,1,4.557420|3.000000|1.000000,0.029256582260131836,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,90393280512.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,2,4.557420|3.000000|1.000000,0.02716660499572754,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,111102435328.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,3,4.557420|3.000000|1.000000,0.02834630012512207,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,68099706880.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,4,4.557420|3.000000|1.000000,0.02734541893005371,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,70533660672.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,5,4.557420|3.000000|1.000000,0.02638387680053711,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,96419119104.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,6,4.557420|3.000000|1.000000,0.026996612548828125,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,87587414016.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,7,4.557420|3.000000|1.000000,0.02678990364074707,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,77691346944.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,8,4.557420|3.000000|1.000000,0.02658557891845703,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,84284768256.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,9,4.557420|3.000000|1.000000,0.026904582977294922,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,72088682496.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,10,4.557420|3.000000|1.000000,0.02679586410522461,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,92945375232.000000,N/A,2,5
