MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,0,9.484198|3.000000|0.000000,0.029204607009887695,3.0,9.620045|3.000000|0.000000,9.484198|3.000000|0.000000,9.620045|3.000000|0.000000,3,244154351616.000000,N/A,3,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,1,4.518628|3.000000|1.000000,0.029005050659179688,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,120476073984.000000,N/A,3,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,2,4.518628|3.000000|1.000000,0.027747154235839844,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,109463748608.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,3,4.518628|3.000000|1.000000,0.02860546112060547,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,88812912640.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,4,4.518628|3.000000|1.000000,0.02715277671813965,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,98730336256.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,5,4.518628|3.000000|1.000000,0.026524066925048828,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,86976741376.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,6,4.518628|3.000000|1.000000,0.02698993682861328,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,91006959616.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,7,4.518628|3.000000|1.000000,0.02666640281677246,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,114524356608.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,8,4.518628|3.000000|1.000000,0.026710033416748047,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,89598492672.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,9,4.518628|3.000000|1.000000,0.026268720626831055,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,49975652352.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,10,4.518628|3.000000|1.000000,0.027300119400024414,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,80614875136.000000,N/A,2,5
