MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,0,9.389280|3.000000|0.000000,0.029134035110473633,3.0,9.834108|3.000000|0.000000,9.389280|3.000000|0.000000,9.834108|3.000000|0.000000,3,244413448192.000000,N/A,3,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,1,4.601840|3.000000|1.000000,0.02921462059020996,3.0,4.416782|3.000000|1.000000,4.601840|3.000000|1.000000,4.416782|3.000000|1.000000,3,90394779648.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,2,4.601840|3.000000|1.000000,0.027127504348754883,3.0,4.416782|3.000000|1.000000,4.601840|3.000000|1.000000,4.416782|3.000000|1.000000,3,111102435328.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,3,4.601840|3.000000|1.000000,0.028310060501098633,3.0,4.416782|3.000000|1.000000,4.601840|3.000000|1.000000,4.416782|3.000000|1.000000,3,68133654528.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,4,4.601840|3.000000|1.000000,0.02721571922302246,3.0,4.416782|3.000000|1.000000,4.601840|3.000000|1.000000,4.416782|3.000000|1.000000,3,70533660672.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,5,4.601840|3.000000|1.000000,0.026545286178588867,3.0,4.416782|3.000000|1.000000,4.601840|3.000000|1.000000,4.416782|3.000000|1.000000,3,102081380352.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,6,4.601840|3.000000|1.000000,0.026894569396972656,3.0,4.416782|3.000000|1.000000,4.601840|3.000000|1.000000,4.416782|3.000000|1.000000,3,103135297536.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,7,4.487415|7.000000|3.000000,0.026951074600219727,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,86277185536.000000,N/A,3,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,8,4.487415|7.000000|3.000000,0.026355743408203125,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,82723414016.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,9,4.487415|7.000000|3.000000,0.026643037796020508,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,99498762240.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,10,4.487415|7.000000|3.000000,0.026680946350097656,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,79417729024.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,11,4.487415|7.000000|3.000000,0.02629375457763672,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,70664331264.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,12,4.487415|7.000000|3.000000,0.02663421630859375,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,79314321408.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,13,4.487415|7.000000|3.000000,0.027083396911621094,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,91542601728.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,14,4.487415|7.000000|3.000000,0.026731252670288086,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,102365495296.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,15,4.487415|7.000000|3.000000,0.026866436004638672,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,104268439552.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,16,4.487415|7.000000|3.000000,0.02567291259765625,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,107546034176.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,17,4.487415|7.000000|3.000000,0.027866363525390625,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,95480717312.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,18,4.487415|7.000000|3.000000,0.027378082275390625,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,111101558784.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,19,4.487415|7.000000|3.000000,0.0261075496673584,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,48041463808.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,20,4.487415|7.000000|3.000000,0.026484966278076172,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,19274510336.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,21,4.487415|7.000000|3.000000,0.027266263961791992,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,102277398528.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,22,4.487415|7.000000|3.000000,0.027170181274414062,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,118117597184.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,23,4.487415|7.000000|3.000000,0.02693915367126465,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,43474694144.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,24,4.487415|7.000000|3.000000,0.02714705467224121,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,97628430336.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,25,4.487415|7.000000|3.000000,0.02627730369567871,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,122084900864.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,26,4.487415|7.000000|3.000000,0.026431798934936523,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,55396200448.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,27,4.487415|7.000000|3.000000,0.026772499084472656,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,103644553216.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,28,4.487415|7.000000|3.000000,0.026448965072631836,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,70533611520.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,29,4.487415|7.000000|3.000000,0.02732372283935547,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,66131853312.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,30,4.487415|7.000000|3.000000,0.0272066593170166,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,70533259264.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,31,4.487415|7.000000|3.000000,0.027400970458984375,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,50008260608.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,32,4.487415|7.000000|3.000000,0.026152610778808594,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,70533144576.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,33,4.487415|7.000000|3.000000,0.02577972412109375,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,109909139456.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,34,4.487415|7.000000|3.000000,0.026688575744628906,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,103742226432.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,35,4.487415|7.000000|3.000000,0.02796769142150879,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,66189365248.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,36,4.487415|7.000000|3.000000,0.026965618133544922,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,99498311680.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,37,4.487415|7.000000|3.000000,0.026625394821166992,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,37388132352.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,38,4.487415|7.000000|3.000000,0.026541709899902344,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,119335436288.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,39,4.487415|7.000000|3.000000,0.026329517364501953,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,49937321984.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,40,4.487415|7.000000|3.000000,0.026900768280029297,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,75955650560.000000,N/A,2,5
