MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,0,9.623449|3.000000|0.000000,0.029363155364990234,3.0,9.292997|3.000000|0.000000,9.623449|3.000000|0.000000,9.292997|3.000000|0.000000,3,244547780608.000000,N/A,3,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,1,4.541265|3.000000|1.000000,0.02915191650390625,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,90771619840.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,2,4.541265|3.000000|1.000000,0.027264833450317383,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,111102435328.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,3,4.541265|3.000000|1.000000,0.02856159210205078,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,67861536768.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,4,4.541265|3.000000|1.000000,0.027248620986938477,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,70533660672.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,5,4.541265|3.000000|1.000000,0.02664470672607422,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,102175973376.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,6,4.541265|3.000000|1.000000,0.027276039123535156,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,103184343040.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,7,4.541265|3.000000|1.000000,0.02685713768005371,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,86277185536.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,8,4.541265|3.000000|1.000000,0.02655506134033203,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,86981779456.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,9,4.541265|3.000000|1.000000,0.026923656463623047,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,99498762240.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,10,4.541265|3.000000|1.000000,0.02661728858947754,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,78947950592.000000,N/A,2,5
