MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,0,9.490594|3.000000,0.8197638988494873,3.0,9.605369|3.000000,9.605369|3.000000,3,244205207552.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,1,4.365190|3.000000,3.369216203689575,3.0,4.943788|3.000000,4.943788|3.000000,3,3.920529,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,2,4.365190|3.000000,3.2731008529663086,3.0,4.943788|3.000000,4.943788|3.000000,3,4.270247,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,3,4.365190|3.000000,3.2584240436553955,3.0,4.943788|3.000000,4.943788|3.000000,3,3.772199,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,4,4.365190|3.000000,3.3130059242248535,3.0,4.943788|3.000000,4.943788|3.000000,3,2.904206,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,5,4.365190|3.000000,3.294437885284424,3.0,4.943788|3.000000,4.943788|3.000000,3,2.372953,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,6,4.365190|3.000000,3.3736350536346436,3.0,4.943788|3.000000,4.943788|3.000000,3,2.172800,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,7,4.365190|3.000000,3.399125099182129,3.0,4.943788|3.000000,4.943788|3.000000,3,2.316412,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,8,4.365190|3.000000,3.650047779083252,3.0,4.943788|3.000000,4.943788|3.000000,3,1.940399,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,9,4.365190|3.000000,4.079394817352295,3.0,4.943788|3.000000,4.943788|3.000000,3,0.469792,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,10,4.365190|3.000000,4.780459880828857,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,11,4.365190|3.000000,5.276017189025879,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,12,4.365190|3.000000,5.17345929145813,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,13,4.365190|3.000000,5.2280378341674805,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,14,4.365190|3.000000,5.2808167934417725,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,15,4.365190|3.000000,5.1418070793151855,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
