MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,0,9.544436|3.000000,0.8512918949127197,3.0,9.480536|3.000000,9.480536|3.000000,3,244199587840.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,1,4.751816|3.000000,3.485982894897461,3.0,4.030739|3.000000,4.030739|3.000000,3,3.873380,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,2,4.751816|3.000000,3.3694441318511963,3.0,4.030739|3.000000,4.030739|3.000000,3,4.136527,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,3,4.751816|3.000000,3.354269027709961,3.0,4.030739|3.000000,4.030739|3.000000,3,3.571661,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,4,4.751816|3.000000,3.4436569213867188,3.0,4.030739|3.000000,4.030739|3.000000,3,2.993331,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,5,4.751816|3.000000,3.4283010959625244,3.0,4.030739|3.000000,4.030739|3.000000,3,2.552758,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,6,4.751816|3.000000,3.5218141078948975,3.0,4.030739|3.000000,4.030739|3.000000,3,2.402237,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,7,4.751816|3.000000,3.6080989837646484,3.0,4.030739|3.000000,4.030739|3.000000,3,2.242807,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,8,4.751816|3.000000,3.7605209350585938,3.0,4.030739|3.000000,4.030739|3.000000,3,2.065404,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,9,4.751816|3.000000,4.231095790863037,3.0,4.030739|3.000000,4.030739|3.000000,3,0.874081,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,10,4.751816|3.000000,5.066057920455933,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,11,4.751816|3.000000,5.528511047363281,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,12,4.751816|3.000000,5.57731294631958,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,13,4.751816|3.000000,5.4565958976745605,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,14,4.751816|3.000000,5.425442218780518,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,15,4.751816|3.000000,5.805808782577515,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,16,4.751816|3.000000,5.486268997192383,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,17,4.751816|3.000000,5.48284125328064,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,18,4.751816|3.000000,5.217291831970215,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,19,4.751816|3.000000,5.483925104141235,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,20,4.751816|3.000000,5.410246849060059,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,21,4.751816|3.000000,5.464545011520386,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,22,4.751816|3.000000,5.47881007194519,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,23,4.751816|3.000000,5.566884994506836,3.0,4.030739|3.000000,4.030739|3.000000,3,0.000000,N/A,5
