MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,0,9.423391|3.000000,0.8047451972961426,3.0,9.757966|3.000000,9.757966|3.000000,3,244741570560.000000,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,1,8.502098|3.000000,3.3149259090423584,3.0,7.953696|3.000000,7.953696|3.000000,3,3.335350,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,2,5.689352|3.000000,3.355132818222046,3.0,5.878987|3.000000,5.878987|3.000000,3,3.874694,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,3,4.610571|3.000000,3.0485761165618896,3.0,4.395564|3.000000,4.192588|5.000000,5,3.484551,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,4,4.610571|3.000000,3.128948926925659,3.0,4.395564|3.000000,4.192588|5.000000,5,3.123088,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,5,4.610571|3.000000,3.106194019317627,3.0,4.395564|3.000000,4.192588|5.000000,5,2.871109,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,6,4.610571|3.000000,3.128903865814209,3.0,4.395564|3.000000,4.192588|5.000000,5,2.635397,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,7,4.610571|3.000000,3.2664151191711426,3.0,4.395564|3.000000,4.192588|5.000000,5,2.567469,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,8,4.610571|3.000000,3.388657808303833,3.0,4.395564|3.000000,4.192588|5.000000,5,2.278819,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,9,4.610571|3.000000,3.6087522506713867,3.0,4.395564|3.000000,4.192588|5.000000,5,2.065383,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,10,4.610571|3.000000,3.936829090118408,3.0,4.395564|3.000000,4.192588|5.000000,5,1.484032,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,11,4.610571|3.000000,4.206989049911499,3.0,4.395564|3.000000,4.192588|5.000000,5,0.041829,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,12,4.610571|3.000000,5.13077712059021,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,13,4.610571|3.000000,5.429377794265747,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
