MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,0,9.748077|3.000000,0.8428261280059814,3.0,8.985961|3.000000,8.985961|3.000000,3,244533985280.000000,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,1,8.227382|3.000000,3.3551580905914307,3.0,8.599137|3.000000,8.599137|3.000000,3,3.373533,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,2,8.227382|3.000000,3.2072088718414307,3.0,8.599137|3.000000,4.183233|5.000000,5,3.624318,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,3,8.227382|3.000000,3.1142687797546387,3.0,8.599137|3.000000,4.183233|5.000000,5,3.203144,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,4,8.227382|3.000000,3.176804780960083,3.0,8.599137|3.000000,4.183233|5.000000,5,2.872726,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,5,4.565099|3.000000,3.172028064727783,3.0,4.504544|3.000000,4.183233|5.000000,5,2.512710,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,6,4.565099|3.000000,3.2319459915161133,3.0,4.504544|3.000000,4.183233|5.000000,5,2.325282,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,7,4.565099|3.000000,3.19980788230896,3.0,4.504544|3.000000,4.183233|5.000000,5,2.458653,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,8,4.565099|3.000000,3.2889909744262695,3.0,4.504544|3.000000,4.183233|5.000000,5,2.500538,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,9,4.565099|3.000000,3.4248950481414795,3.0,4.504544|3.000000,4.183233|5.000000,5,2.457816,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,10,4.565099|3.000000,3.4415979385375977,3.0,4.504544|3.000000,4.183233|5.000000,5,2.418811,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,11,4.565099|3.000000,3.604984998703003,3.0,4.504544|3.000000,4.183233|5.000000,5,2.079023,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,12,4.565099|3.000000,3.985387086868286,3.0,4.504544|3.000000,4.183233|5.000000,5,0.895483,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,13,4.565099|3.000000,4.651450157165527,3.0,4.504544|3.000000,4.183233|5.000000,5,0.015417,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,14,4.565099|3.000000,5.34185791015625,3.0,4.504544|3.000000,4.183233|5.000000,5,0.015417,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,15,4.565099|3.000000,5.405261993408203,3.0,4.504544|3.000000,4.183233|5.000000,5,0.015417,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,16,4.565099|3.000000,5.535900831222534,3.0,4.504544|3.000000,4.183233|5.000000,5,0.015417,N/A,5
