MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,0,9.540829|3.000000,0.8349452018737793,3.0,9.488972|3.000000,9.488972|3.000000,3,244781563904.000000,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,1,4.633979|3.000000,3.386676073074341,3.0,4.337965|3.000000,4.337965|3.000000,3,3.965498,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,2,4.633979|3.000000,3.24649715423584,3.0,4.337965|3.000000,4.337965|3.000000,3,4.228714,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,3,4.633979|3.000000,3.265673875808716,3.0,4.337965|3.000000,4.337965|3.000000,3,3.753995,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,4,4.633979|3.000000,3.355825185775757,3.0,4.337965|3.000000,4.337965|3.000000,3,3.161199,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,5,4.633979|3.000000,3.322273015975952,3.0,4.337965|3.000000,4.337965|3.000000,3,2.721371,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,6,4.633979|3.000000,3.3934037685394287,3.0,4.337965|3.000000,4.337965|3.000000,3,2.339148,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,7,4.633979|3.000000,3.4843599796295166,3.0,4.337965|3.000000,4.337965|3.000000,3,2.287474,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,8,4.633979|3.000000,3.86224102973938,3.0,4.337965|3.000000,4.337965|3.000000,3,1.587881,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,9,4.633979|3.000000,4.421885967254639,3.0,4.337965|3.000000,4.337965|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,10,4.633979|3.000000,5.4428019523620605,3.0,4.337965|3.000000,4.337965|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,11,4.633979|3.000000,5.303551912307739,3.0,4.337965|3.000000,4.337965|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,12,4.633979|3.000000,5.28790283203125,3.0,4.337965|3.000000,4.329657|9.000000,9,0.000315,N/A,5
