MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,0,9.540829|3.000000|0.000000,0.987166166305542,3.0,9.488972|3.000000|0.000000,9.488972|3.000000|0.000000,3,244781563904.000000,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,1,9.540829|3.000000|0.000000,4.171197891235352,3.0,9.488972|3.000000|0.000000,4.337965|3.000000|1.000000,3,837809.250000,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,2,9.504141|3.000000|0.000000,4.119240999221802,3.0,9.543655|3.000000|0.000000,4.337965|3.000000|1.000000,3,837803.812500,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,3,9.504141|3.000000|0.000000,4.146976947784424,3.0,9.543655|3.000000|0.000000,4.337965|3.000000|1.000000,3,4.020462,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,4,9.504141|3.000000|0.000000,4.639523983001709,3.0,9.543655|3.000000|0.000000,4.337965|3.000000|1.000000,3,2.400815,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,5,9.504141|3.000000|0.000000,4.317285776138306,3.0,9.543655|3.000000|0.000000,4.337965|3.000000|1.000000,3,1.796275,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,6,9.504141|3.000000|0.000000,4.4037981033325195,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,1.501186,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,7,9.504141|3.000000|0.000000,4.832200050354004,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,1.433572,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,8,9.504141|3.000000|0.000000,7.520908832550049,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,9,9.504141|3.000000|0.000000,9.455345153808594,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,10,9.504141|3.000000|0.000000,9.438061237335205,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,11,9.504141|3.000000|0.000000,9.683053016662598,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,12,9.504141|3.000000|0.000000,9.590834140777588,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,13,9.504141|3.000000|0.000000,9.450783967971802,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,14,9.504141|3.000000|0.000000,9.560122966766357,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,15,9.504141|3.000000|0.000000,9.485760927200317,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,16,9.504141|3.000000|0.000000,9.637712001800537,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,17,9.504141|3.000000|0.000000,9.430733919143677,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,18,9.504141|3.000000|0.000000,9.419541120529175,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,19,9.504141|3.000000|0.000000,9.650726795196533,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,20,9.504141|3.000000|0.000000,9.81013011932373,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,21,9.504141|3.000000|0.000000,9.501882791519165,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,22,9.504141|3.000000|0.000000,9.752482175827026,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,23,9.504141|3.000000|0.000000,9.667826890945435,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
