MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,0,2221.278564|15.000000,0.07539844512939453,15.0,2040.086060|15.000000,2221.278564|15.000000,2040.086060|15.000000,15,161016561664.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,1,2210.936279|3.000000,0.023944616317749023,3.0,2305.995850|3.000000,2210.936279|3.000000,2305.995850|3.000000,3,54333308928.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,2,2160.405518|3.000000,0.022750377655029297,3.0,2257.108643|3.000000,2160.405518|3.000000,2257.108643|3.000000,3,8069440000.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,3,2160.405518|3.000000,0.02231001853942871,3.0,2257.108643|3.000000,2160.405518|3.000000,2257.108643|3.000000,3,42764587008.000000,N/A,1,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,4,2043.590576|5.000000,0.022791147232055664,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,65058840576.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,5,2043.590576|5.000000,0.0214231014251709,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,37134258176.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,6,2043.590576|5.000000,0.02206563949584961,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,10452601856.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,7,2043.590576|5.000000,0.021329641342163086,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,40987017216.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,8,2043.590576|5.000000,0.021146535873413086,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,70317113344.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,9,2043.590576|5.000000,0.02185201644897461,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,50882899968.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,10,2043.590576|5.000000,0.022577524185180664,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,86662316032.000000,N/A,2,5
