MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,0,2320.007568|15.000000,0.07558083534240723,15.0,1769.922852|15.000000,2320.007568|15.000000,1769.922852|15.000000,15,158528045056.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,1,2259.319580|9.000000,0.023917198181152344,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,53120393216.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,2,2259.319580|9.000000,0.022189617156982422,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,43660668928.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,3,2259.319580|9.000000,0.02232646942138672,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,50220371968.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,4,2259.319580|9.000000,0.0225222110748291,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,107800911872.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,5,2259.319580|9.000000,0.020869016647338867,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,87616602112.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,6,2259.319580|9.000000,0.02230238914489746,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,13040018432.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,7,2259.319580|9.000000,0.02271413803100586,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,53178421248.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,8,2259.319580|9.000000,0.02248239517211914,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,63204.972656,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,9,2259.319580|9.000000,0.021465301513671875,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,3929753088.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,10,2259.319580|9.000000,0.02189946174621582,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,65663827968.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,11,2259.319580|9.000000,0.021740436553955078,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,1477953.875000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,12,2259.319580|9.000000,0.02082228660583496,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,50852343808.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,13,2259.319580|9.000000,0.02122020721435547,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,58604175360.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,14,2259.319580|9.000000,0.021733760833740234,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,22447570944.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,15,2259.319580|9.000000,0.021172046661376953,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,48091684864.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,16,2259.319580|9.000000,0.021105051040649414,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,44626440192.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,17,2259.319580|9.000000,0.022020339965820312,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,49784041472.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,18,2259.319580|9.000000,0.021546363830566406,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,301123488.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,19,2259.319580|9.000000,0.023186922073364258,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,78745993216.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,20,2259.319580|9.000000,0.021157026290893555,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,63596163072.000000,N/A,2,5
