=== Stats: Toxicity (2_Objs) ===
Scenario  NSGA-II_Pure  NT_1st_Obj_Elitism   NT_NSGA-II
count         8.000000            8.000000     8.000000
mean       2183.159378         2083.517944  2240.853943
std         173.242578          174.471859   179.572613
min        1812.220581         1878.595825  1926.962402
25%        2151.967346         1931.723938  2188.212952
50%        2216.979248         2061.697937  2207.929566
75%        2270.378418         2225.364563  2307.472961
max        2380.304199         2348.672607  2497.607666

Friedman Test:
Statistic: 5.8710, p-value: 0.053105
