=== Stats: Toxicity (2_Objs) ===
Scenario  NSGA-II_Pure  NT_1st_Obj_Elitism   NT_NSGA-II
count         8.000000            8.000000     8.000000
mean       2102.366379         2083.517944  2054.657715
std         191.763008          174.471859   171.589019
min        1728.057495         1878.595825  1801.483887
25%        2032.593201         1931.723938  1957.521027
50%        2148.042725         2061.697937  2034.788879
75%        2231.019287         2225.364563  2116.227783
max        2306.906982         2348.672607  2365.288818

Friedman Test:
Statistic: 3.2500, p-value: 0.196912
